experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,15,900355267,64.699768,1.069050,15.572189,2111.872314,nan,10342400,1265.63,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,15,1472803480,68.942955,2.744772,30.038330,6354.588379,nan,10342400,1145.12,11,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,17,1580449467,64.692886,1.164556,12.361086,1202.572754,nan,10342400,1281.91,12,True,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,8,1390106345,64.739777,1.474921,18.134575,2347.845947,nan,10342400,1846.08,17,True,True,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,16,1421743327,64.296280,1.029962,13.792362,1551.058350,nan,10342400,1254.82,12,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,16,295311832,68.068466,2.013412,22.781773,13614.487305,nan,10342400,1162.45,11,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,18,1165417298,64.368416,1.131515,11.233148,1150.065674,nan,10342400,1389.77,13,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,17,1114686901,65.582375,1.112365,16.359058,2402.581055,nan,10342400,1164.28,11,False,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,17,1998723040,66.753235,1.400456,18.279421,2366.165771,nan,10342400,1341.81,13,False,True,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,9,898887213,66.292168,1.223870,14.254608,1899.267700,nan,10342400,2244.79,21,True,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,19,736574600,65.524696,1.117309,14.206268,1720.146362,nan,10342400,1183.18,11,True,False,ReLU
convergence_study,Generic10_sumLosses,['Generic'],Weather-96,144,96,192,10,1,True,18,1016563864,67.043915,1.177991,16.685581,2444.594971,nan,10342400,1248.08,12,False,True,ReLU
convergence_study,Generic10_activeG,['Generic'],Weather-96,144,96,192,10,1,True,20,1082893456,63.570248,0.989722,12.435804,1328.544556,nan,10342400,1187.09,11,True,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,18,361679613,64.531403,1.113514,17.500235,2442.245117,nan,10342400,2107.27,20,False,False,ReLU
convergence_study,Generic10_baseline,['Generic'],Weather-96,144,96,192,10,1,True,19,1504361032,67.097160,1.661400,31.265491,7952.043457,nan,10342400,1266.40,12,False,False,ReLU
convergence_study,Generic10_activeG+sumL,['Generic'],Weather-96,144,96,192,10,1,True,10,483110975,63.771366,1.197096,20.423733,3103.727783,nan,10342400,3077.84,29,True,True,ReLU
