experiment,config_name,dataset,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,active_g,activation,smape,mase,mae,mse,owa,best_val_loss,final_val_loss,final_train_loss,best_epoch,epochs_trained,stopping_reason,loss_ratio,diverged,n_params,training_time_seconds,val_loss_curve
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,47,2145619755,False,ReLU,21.059748,3.042489,117686.812500,1457519591424.000000,nan,25.13314819,25.98060036,31.33540154,17,27,EARLY_STOPPED,1.033719,False,23961600,24.74,"[""198.51502991"", ""110.30462646"", ""70.45307159"", ""42.27864075"", ""35.73249817"", ""39.42623138"", ""31.04397583"", ""32.85447311"", ""28.10006142"", ""27.00702477"", ""27.02530670"", ""25.92923355"", ""25.57212067"", ""25.73966599"", ""26.44546890"", ""25.57126617"", ""25.46042252"", ""25.13314819"", ""25.28993416"", ""25.65213203"", ""25.72923851"", ""25.52737236"", ""25.57962608"", ""25.81539536"", ""26.17608643"", ""26.22220802"", ""26.02486992"", ""25.98060036""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,50,1729026840,False,ReLU,20.788887,3.059808,114898.960938,1372180971520.000000,nan,25.08924675,25.48497009,31.96010590,10,20,EARLY_STOPPED,1.015773,False,23961600,17.93,"[""197.11669922"", ""98.93896484"", ""69.42382050"", ""49.41516113"", ""34.24239731"", ""34.94871140"", ""28.40366936"", ""28.53846169"", ""26.26640129"", ""25.97366524"", ""25.08924675"", ""25.49608421"", ""25.33419800"", ""26.54583168"", ""25.27527809"", ""25.34160042"", ""25.51110458"", ""25.81928635"", ""25.93733406"", ""26.00775337"", ""25.48497009""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,48,375917126,False,ReLU,21.524157,3.099047,109201.796875,1273829916672.000000,nan,25.46848297,26.30536270,29.18711662,17,27,EARLY_STOPPED,1.032859,False,23961600,25.87,"[""192.82081604"", ""128.15641785"", ""88.73126221"", ""52.01301575"", ""36.97133255"", ""36.16746521"", ""28.35998535"", ""27.25381470"", ""26.87754059"", ""27.34706688"", ""27.18143463"", ""26.36708069"", ""26.34421921"", ""25.81526375"", ""25.77218056"", ""25.50115585"", ""25.59567070"", ""25.46848297"", ""25.48788452"", ""25.84933662"", ""25.79840660"", ""25.78512764"", ""25.85920906"", ""25.98246002"", ""25.99041748"", ""26.05899811"", ""26.19941902"", ""26.30536270""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,51,1032466490,False,ReLU,21.013384,3.077293,123677.445312,1636553588736.000000,nan,24.87497711,25.71185875,30.85994148,14,24,EARLY_STOPPED,1.033644,False,23961600,22.66,"[""187.36604309"", ""103.84124756"", ""79.90270233"", ""50.44249725"", ""32.77229309"", ""35.27622986"", ""30.16405678"", ""28.03458786"", ""27.60359383"", ""26.65572739"", ""27.54913330"", ""26.25913239"", ""25.85182190"", ""25.00051880"", ""24.87497711"", ""25.33497429"", ""25.52491760"", ""25.92477226"", ""25.62133026"", ""25.51378632"", ""25.70427895"", ""25.89697456"", ""26.11388206"", ""25.74290848"", ""25.71185875""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,52,1794320896,False,ReLU,21.042152,3.029540,109881.687500,1281711144960.000000,nan,25.24749374,26.52992249,29.64012527,14,24,EARLY_STOPPED,1.050794,False,23961600,21.21,"[""191.20504761"", ""96.56452179"", ""58.89178085"", ""34.36899948"", ""30.78512764"", ""29.40301895"", ""26.78106499"", ""28.09621048"", ""27.63956833"", ""27.13426018"", ""26.21333885"", ""26.45412636"", ""25.53686714"", ""25.38723564"", ""25.24749374"", ""25.47963905"", ""26.62988853"", ""25.74077797"", ""25.92048645"", ""25.87180519"", ""25.96351433"", ""26.04563141"", ""26.27703285"", ""26.48777390"", ""26.52992249""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,53,757083316,False,ReLU,20.937912,3.024958,104084.554688,1154776563712.000000,nan,25.40938568,27.35079193,28.72194862,16,26,EARLY_STOPPED,1.076405,False,23961600,24.34,"[""197.16096497"", ""106.99163818"", ""45.69965744"", ""45.41471481"", ""33.57178497"", ""31.37223053"", ""30.13989639"", ""27.94984627"", ""26.10740662"", ""26.11157036"", ""26.01471901"", ""25.79209900"", ""25.54821014"", ""25.58647919"", ""25.70368576"", ""25.43096161"", ""25.40938568"", ""25.48219490"", ""25.72869110"", ""25.51502609"", ""25.41013145"", ""25.94484711"", ""26.84212303"", ""26.45449066"", ""26.36257935"", ""27.40806007"", ""27.35079193""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,54,905000051,False,ReLU,21.519831,3.144353,124158.007812,1639606124544.000000,nan,25.40456390,26.72923279,31.63915825,16,26,EARLY_STOPPED,1.052143,False,23961600,23.33,"[""190.25379944"", ""114.05142212"", ""59.10552597"", ""35.85492706"", ""34.59905243"", ""31.67284393"", ""27.23613930"", ""26.80401230"", ""26.23064232"", ""26.53160477"", ""26.33568954"", ""26.20769501"", ""25.41112328"", ""25.51891518"", ""25.80019188"", ""25.48085785"", ""25.40456390"", ""25.62567520"", ""25.98227310"", ""25.81210518"", ""25.86046791"", ""26.26403618"", ""26.15279198"", ""26.22114372"", ""26.72479439"", ""26.85967064"", ""26.72923279""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,55,45741729,False,ReLU,21.597437,3.146226,129890.273438,1788888481792.000000,nan,25.19526482,26.00689888,32.23968887,16,26,EARLY_STOPPED,1.032214,False,23961600,23.29,"[""196.17524719"", ""109.54359436"", ""70.30416870"", ""45.32057571"", ""33.08855438"", ""39.31177902"", ""30.17264938"", ""30.10800743"", ""27.87815094"", ""25.58229637"", ""26.36498451"", ""26.97632599"", ""25.41112518"", ""25.55085945"", ""25.58192253"", ""25.21179581"", ""25.19526482"", ""26.00241661"", ""25.66627502"", ""25.44383621"", ""25.24777985"", ""25.48590660"", ""25.80087471"", ""26.10896301"", ""26.13852882"", ""26.15225029"", ""26.00689888""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,56,1036761967,False,ReLU,21.270752,3.107976,117567.296875,1426103730176.000000,nan,24.88396645,26.25338745,32.06449509,12,22,EARLY_STOPPED,1.055032,False,23961600,21.65,"[""182.43470764"", ""134.05027771"", ""69.21346283"", ""49.48995590"", ""33.73543930"", ""32.78417206"", ""29.76375008"", ""26.63883781"", ""26.41690063"", ""26.11342049"", ""25.74760818"", ""25.08807182"", ""24.88396645"", ""25.37932014"", ""25.38154221"", ""25.14329338"", ""25.53709793"", ""25.43728256"", ""26.17235565"", ""26.28802872"", ""26.29938126"", ""25.87867928"", ""26.25338745""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,57,663868541,False,ReLU,21.412891,3.103474,121478.257812,1577556115456.000000,nan,25.41140556,26.37928200,32.02419281,15,25,EARLY_STOPPED,1.038088,False,23961600,23.24,"[""184.86553955"", ""95.66842651"", ""46.77378464"", ""41.38098526"", ""34.10612488"", ""30.93437004"", ""30.03792763"", ""28.01360512"", ""27.95360184"", ""27.80625153"", ""25.70012283"", ""25.55778694"", ""26.17797852"", ""25.90062904"", ""26.38232994"", ""25.41140556"", ""25.54858398"", ""26.05623245"", ""26.04895782"", ""26.32946968"", ""25.81111526"", ""25.69215965"", ""25.71670341"", ""25.98499870"", ""26.21835136"", ""26.37928200""]"
