experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,forecast_multiplier,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,40,5,30,1,True,0,42,10.145321,1.173334,,,0.888560,25006080,254.11,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,40,5,30,1,True,1,43,10.335802,1.192058,,,0.904038,25006080,362.97,17,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,40,5,30,1,True,2,44,10.337298,1.213713,,,0.912003,25006080,281.02,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,48,6,30,1,True,0,42,10.295992,1.196165,,,0.903728,25251840,259.71,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,48,6,30,1,True,1,43,34.437416,4.438675,,,3.182404,25251840,302.30,16,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,48,6,30,1,True,2,44,10.283687,1.171985,,,0.894351,25251840,255.30,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,56,7,30,1,True,0,42,10.273091,1.188650,,,0.899947,25497600,184.24,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,56,7,30,1,True,1,43,10.260486,1.187077,,,0.898801,25497600,185.84,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,56,7,30,1,True,2,44,10.480614,1.202680,,,0.914486,25497600,230.03,15,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,16,2,2,3,True,0,42,9.964579,1.145986,,,0.870380,12871941,342.53,20,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,16,2,2,3,True,1,43,9.912827,1.137567,,,0.864960,12871941,328.59,19,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,16,2,2,3,True,2,44,9.867853,1.133132,,,0.861300,12871941,394.08,23,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,24,3,2,3,True,0,42,9.900501,1.131129,,,0.862052,12906757,258.14,17,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,24,3,2,3,True,1,43,9.934324,1.136674,,,0.865610,12906757,199.11,13,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,24,3,2,3,True,2,44,9.983850,1.146265,,,0.871357,12906757,276.02,18,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,32,4,2,3,True,0,42,10.170080,1.171398,,,0.888978,12941573,260.28,19,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,32,4,2,3,True,1,43,10.106942,1.156009,,,0.880499,12941573,231.89,17,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,32,4,2,3,True,2,44,10.127663,1.175359,,,0.888497,12941573,230.14,17,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,40,5,2,3,True,0,42,10.200346,1.169160,,,0.889536,12976389,152.71,13,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,40,5,2,3,True,1,43,10.212457,1.174986,,,0.892211,12976389,160.44,14,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,40,5,2,3,True,2,44,10.192356,1.181133,,,0.893540,12976389,181.74,15,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,48,6,2,3,True,0,42,10.497200,1.214844,,,0.919676,13011205,209.85,21,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Quarterly,4,8,48,6,2,3,True,1,43,10.375594,1.202747,,,0.909742,13011205,149.03,15,False,False,ReLU,
