experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ablation,Generic_sumLosses,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.185558,1.173404,,,0.890413,25006080,405.89,22,False,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.280862,1.206230,,,0.906711,25006080,611.64,32,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.254208,1.201605,,,0.903815,25006080,472.48,25,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.222099,1.195994,,,0.900311,25006080,226.95,12,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.296627,1.202309,,,0.905998,25006080,287.21,15,True,True,ReLU,
ablation,Generic_activeG+sumL,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.351679,1.222240,,,0.915766,25006080,228.96,12,True,True,ReLU,
ablation,Generic_GELU,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.141696,1.167319,,,0.886202,25006080,216.31,12,False,False,GELU,
ablation,Generic_GELU,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.165948,1.184274,,,0.893487,25006080,231.69,13,False,False,GELU,
ablation,Generic_GELU,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.262575,1.214361,,,0.908847,25006080,214.34,12,False,False,GELU,
ablation,Generic_GELU,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.328693,1.200593,,,0.906828,25006080,249.05,14,False,False,GELU,
ablation,Generic_GELU,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.462343,1.200306,,,0.912791,25006080,303.50,17,False,False,GELU,
ablation,Generic_ELU,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.170380,1.182593,,,0.893075,25006080,215.82,12,False,False,ELU,
ablation,Generic_ELU,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.170790,1.182846,,,0.893185,25006080,235.78,13,False,False,ELU,
ablation,Generic_ELU,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.291362,1.210973,,,0.908918,25006080,215.60,12,False,False,ELU,
ablation,Generic_ELU,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.400689,1.204156,,,0.911396,25006080,308.43,17,False,False,ELU,
ablation,Generic_ELU,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.351347,1.192476,,,0.904896,25006080,269.62,15,False,False,ELU,
ablation,Generic_LeakyReLU,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.332823,1.189913,,,0.903120,25006080,290.50,16,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.308543,1.194933,,,0.903848,25006080,250.15,14,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.125222,1.169375,,,0.886204,25006080,215.53,12,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.316866,1.215842,,,0.911852,25006080,271.22,15,False,False,LeakyReLU,
ablation,Generic_LeakyReLU,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.350463,1.190678,,,0.904200,25006080,269.41,15,False,False,LeakyReLU,
ablation,Generic_SELU,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.270109,1.205944,,,0.906119,25006080,215.11,12,False,False,SELU,
ablation,Generic_SELU,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.470508,1.205020,,,0.914881,25006080,308.06,17,False,False,SELU,
ablation,Generic_SELU,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.229067,1.191656,,,0.899045,25006080,234.05,13,False,False,SELU,
ablation,Generic_SELU,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.240062,1.179960,,,0.895279,25006080,252.30,14,False,False,SELU,
ablation,Generic_SELU,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.212801,1.175131,,,0.892280,25006080,216.01,12,False,False,SELU,
ablation,Generic_baseline,['Generic'],Monthly,12,18,90,30,1,True,0,42,13.019863,0.946846,,,0.896597,26695680,1175.92,12,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Monthly,12,18,90,30,1,True,1,43,13.689923,0.968511,,,0.930010,26695680,1167.28,12,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Monthly,12,18,90,30,1,True,2,44,13.426902,0.950623,,,0.912481,26695680,1085.64,11,False,False,ReLU,
