experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,6,958996008,13.704142,3.181707,838.037170,3214642.500000,0.819607,8222720,119.69,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,7,581006147,13.463646,3.080964,828.920715,3273985.250000,0.799574,8222720,104.01,16,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,8,660653309,13.707813,3.206389,840.825073,3196949.750000,0.822825,8222720,142.07,21,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,9,1886526189,13.732928,3.230601,847.304321,3249365.500000,0.826640,8222720,130.05,20,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,10,1046716938,13.800529,3.234776,850.932068,3306042.000000,0.829234,8222720,117.59,18,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,11,195408392,13.575952,3.135587,836.715149,3289001.500000,0.809883,8222720,109.12,17,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,12,659458717,13.725943,3.214488,849.055054,3332154.000000,0.824399,8222720,111.54,17,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,13,164912929,13.708954,3.205411,842.970337,3237438.000000,0.822737,8222720,124.76,19,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,14,633549738,13.654768,3.141077,832.378052,3220465.500000,0.812985,8222720,124.14,19,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,15,1060304612,13.701552,3.192198,842.723816,3266296.750000,0.820848,8222720,104.41,16,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,16,90631149,13.804936,3.231502,844.562683,3238339.000000,0.828957,8222720,112.11,17,True,False,ReLU
convergence_study,Generic10_activeG,['Generic'],Yearly,1,6,30,10,1,True,17,1255482604,13.728931,3.222749,846.079712,3283246.250000,0.825530,8222720,122.71,19,True,False,ReLU
